title,price,reference,image_url
pc portable asus vivobook 15 x1504 / i3 13è gén / 4 go / win11 / silver,1035000.0,[X1504VA-NJ520W],
pc portable asus vivobook 15 x1504 / i3 13è gén / 4 go / win11 / bleu,1035000.0,[X1504VA-NJ519W],
pc portable dell vostro 3530 / i3-1305u / 8 go / noir,1039000.0,[V3530I3],
pc portable dell vostro 3520 / i3-1215u / 12 go / 512 go ssd / noir avec sacoche offert,1049000.0,[V3520I3-UBU-12SAC],
pc portable asus vivobook 15 x1504 / i3 13è gén / 4 go / win11 / bleu  avec sacoche offerte,1049000.0,[X1504VA-NJ519W-SAC],
pc portable asus vivobook 15 x1504 / i3 13è gén / 4 go / win11 / silver avec sacoche offerte,1049000.0,[X1504VA-NJ520W-SAC],
pc portable hp 15-fd0051nk / i3-n305 / 8 go / 512 go ssd / gold,1049000.0,[A2AN9EA],
pc portable dell vostro 3530 / i3-1305u / 12 go / noir,1049000.0,[V3530I3-12],
pc portable asus vivobook 15 x1504 / i3 13è gén / 8 go / win11 / silver,1059000.0,[X1504VA-NJ520W-8],
pc portable asus vivobook 15 x1504 / i3 13è gén / 8 go / win11 / bleu,1059000.0,[X1504VA-NJ519W-8],
pc portable asus vivobook 15 x1504 / i3-1315u / 8 go / 256 go ssd / windows 11 / bleu,1059000.0,[X1504VA-NJ480W],
pc portable asus vivobook 15 x1504 / i3 13è gén / 8 go / win11 / silver,1059000.0,[X1504VA-NJ432W],
pc portable dell vostro 3400 / i3 11è gén / 16 go / noir / windows 11 pro,1065000.0,[V3400I3-16-512W11P],
pc portable asus vivobook 15 x1504 / i3 13è gén / 8 go / win11 / bleu avec sacoche offerte,1079000.0,[X1504V-NJ519W-8SAC],
pc portable asus vivobook 15 x1504 / i3 13è gén / 12 go / win11 / silver,1079000.0,[X1504VA-NJ432W-12],
pc portable asus vivobook 15 x1504 / i3 13è gén / 8 go / win11 / silver  avec sacoche offerte,1079000.0,[X1504V-NJ520W-8SAC],
pc portable dell vostro 3520 / i3-1215u / 16 go / 512 go ssd / noir,1079000.0,[V3520I3-UBU-16],
pc portable asus vivobook 15 x1504 / i3 13è gén / 12 go / win11 / bleu,1079000.0,[X1504VA-NJ480W-12],
pc portable dell vostro 3530 / i3-1305u / 16 go / noir,1089000.0,[V3530I3-16],
pc portable msi modern 15 - b12mo / i3-1215u / 16 go / 512 go ssd,1099000.0,[B12MO-1019XFR],
pc portable dell vostro 3520 / i3-1215u / 8 go / 512 go ssd /windows 11 pro /noir,1099000.0,[V3520I3-UBUW11P],
pc portable asus vivobook go 15 e1504ga / i3-n305 / 8 go / windows 11 / noir,1099000.0,[E1504GA-NJ092W],
