title,price,reference,description
pc portable lenovo ideapad 1 15iau7 i3 12ème gén 12g 256g ssd - gris,1029000.0, [BU-82QD00E2FE-12G-W11P],
pc portable lenovo ideapad 1 15iau7 i3 12ème gén 16go 256go ssd - gris,1029000.0, [82QD00E2FE-16G],
pc portable lenovo ideapad slim 3 15iru8 i3 13è gén 8go 256go ssd - gris,1029000.0, [82X7009RFG],
pc portable lenovo ideapad 1 15iau7 i3 12ème gén 12go 512go ssd - gris,1039000.0, [82QD00G1FG-12G],
pc portable lenovo ideapad 1 15iau7 i3 12è gén 8go 256go ssd - bleu,1045000.0, [82QD00AQFE-8G],
pc portable dell vostro 3520 i3 12è gén 16go 512go ssd - noir,1049000.0, [V3520-I3-512SSD-16G],
pc portable asus vivobook 15 x1504va i3 13è gén 4go 256go ssd - silver,1049000.0, [X1504VA-NJ520W],
pc portable asus vivobook 15 x1504va i3 13è gén 4go 256go ssd - bleu,1049000.0, [X1504VA-NJ519W],
pc portable lenovo ideapad 1 15iau7 i3 12è gén 8go 256go ssd - gris,1049000.0, [82QD00C2FG],
pc portable lenovo v15 g3 iap i3 12ème gén 12go 256go ssd - noir,1055000.0, [82TT00J2FE-12G],
pc portable asus vivobook 15 x1504va i3 13è gén 8go 256g ssd - silver,1069000.0, [X1504VA-NJ432W],
pc portable asus vivobook 15 x1504va i3 13è gén 8go 256g ssd - bleu,1069000.0, [X1504VA-NJ480W],
pc portable asus vivobook 15 x1504va i3 13è gén 8go 256go ssd - silver,1069000.0, [X1504VA-NJ520W-8G],
pc portable asus vivobook 15 x1504va i3 13è gén 8go 256go ssd - bleu,1069000.0, [X1504VA-NJ519W-8G],
pc portable lenovo ideapad 1 15iau7 i3 12è gén 12go 256go ssd - bleu,1075000.0, [82QD00AQFE-12G],
pc portable lenovo ideapad 1 15iau7 i3 12ème gén 16go 512go ssd - gris,1079000.0, [82QD00G1FG-16G],
pc portable lenovo ideapad 1 15iau7 i3 12è gén 12go 256go ssd - gris,1079000.0, [82QD00C2FG-12G],
pc portable asus vivobook 15 x1504va i3 13è gén 12go 256g ssd - silver,1089000.0, [X1504VA-NJ432W-12G],
pc portable lenovo ideapad 1 15iau7 i3 12ème gén 16g 256g ssd - gris,1089000.0, [BU-82QD00E2FE-16G-W11P],
pc portable asus vivobook 15 x1504va i3 13è gén 12go 256g ssd - bleu,1089000.0, [X1504VA-NJ480W-12G],
pc portable lenovo v15 g3 iap i3 12è gén 20go 256go ssd - noir,1095000.0, [82TT00J2FE-20G],
pc portable dell vostro 3520 i3 12è gén 24go 512go ssd - noir,1095000.0, [V3520-I3-512SSD-24G],
pc portable asus expertbook b2 b2502c i3 12è gén 8go 512go ssd - noir,1109000.0, [B2502CBA-KJ1662],
pc portable dell vostro 3530 i3 13è gén 8go 256go ssd - noir,1109000.0, [VOSTRO-3530-I3-256SSD],
pc portable hp 15-fd0060nk i3-n305 8go 256go ssd - silver,1109000.0, [A2AP4EA],
pc portable hp 15-fd0057nk i3-n305 8go 256go ssd - silver & bleu,1109000.0, [A2AP3EA],
pc portable hp 15-fd0056nk i3-n305 8go 256go ssd - silver & or chaud,1109000.0, [A2AP2EA],
