title,price,reference,description
PC Portable LENOVO V15 G3 IAP i3 12è Gén 4Go 256Go SSD - Noir,"999,000 DT", [82TT00J2FE],
,,,
,,,
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 8G 256G SSD - Gris,"1 009,000 DT", [BU-82QD00E2FE-W11P],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 4Go 256Go SSD - Bleu,"1 015,000 DT", [82QD00AQFE],
PC Portable LENOVO V15 G3 IAP i3 12è Gén 8Go 256Go SSD - Noir,"1 015,000 DT", [82TT00J2FE-8G],
PC Portable LENOVO IdeaPad 3 15IAU7 i3 12ème Gén 8Go 512Go SSD - Gris,"1 019,000 DT", [82RK016YFG],
PC Portable LENOVO IdeaPad 3 15IAU7 i3 12ème Gén 8Go 512Go SSD - Bleu,"1 019,000 DT", [82RK017AFG],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 8Go 512Go SSD - Gris,"1 019,000 DT", [82QD00G1FG],
Pc Portable DELL Vostro 3520 i3 12è Gén 12Go 512Go SSD - Noir,"1 019,000 DT", [V3520-I3-512SSD-12G],
Pc Portable DELL Vostro 3520 i3 12ème Gén 20Go 256Go SSD - Noir,"1 025,000 DT", [BU-N4004PVNB3520-20G-W11],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 12G 256G SSD - Gris,"1 029,000 DT", [BU-82QD00E2FE-12G-W11P],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 16Go 256Go SSD - Gris,"1 029,000 DT", [82QD00E2FE-16G],
PC Portable LENOVO IdeaPad Slim 3 15IRU8 i3 13è Gén 8Go 256Go SSD - Gris,"1 029,000 DT", [82X7009RFG],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12ème Gén 12Go 512Go SSD - Gris,"1 039,000 DT", [82QD00G1FG-12G],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12è Gén 8Go 256Go SSD - Bleu,"1 045,000 DT", [82QD00AQFE-8G],
Pc Portable DELL Vostro 3520 i3 12è Gén 16Go 512Go SSD - Noir,"1 049,000 DT", [V3520-I3-512SSD-16G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 4Go 256Go SSD - Silver,"1 049,000 DT", [X1504VA-NJ520W],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 4Go 256Go SSD - Bleu,"1 049,000 DT", [X1504VA-NJ519W],
PC Portable LENOVO IdeaPad 1 15IAU7 i3 12è Gén 8Go 256Go SSD - Gris,"1 049,000 DT", [82QD00C2FG],
PC Portable LENOVO V15 G3 IAP i3 12ème Gén 12Go 256Go SSD - Noir,"1 055,000 DT", [82TT00J2FE-12G],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 8Go 256G SSD - Silver,"1 069,000 DT", [X1504VA-NJ432W],
PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 8Go 256G SSD - Bleu,"1 069,000 DT", [X1504VA-NJ480W],
